column1,2015,2016,2017,2018,2019,2020,2021,2022
Measure: Life expectancy,,,,,,,,
Unit of measure: Years,,,,,,,,
Sex: Total,,,,,,,,
Australia,82.4,82.4,82.5,82.7,82.9,83.2,83.3,
Austria,81.3,81.8,81.7,81.8,82,81.3,81.3,P   81.1
Belgium,81.1,81.5,81.6,81.7,82.1,80.8,81.9,P   81.8
Canada,81.9,82,81.9,81.9,82.3,81.7,81.6,
Chile,79.8,80,80.2,80.4,80.6,80.8,P   81,P   81.2
Colombia,75.4,75.7,75.9,76.5,76.6,76.7,76.8,76.9
Costa Rica,79.9,80,80.2,80.3,80.5,80.6,80.8,80.9
Czechia,78.7,79.1,79.1,79.1,79.3,78.3,77.2,P   79.1
Denmark,80.8,80.9,81.1,81,81.5,81.6,81.5,P   81.3
Estonia,78,78,78.4,78.5,79,78.9,77.2,P   78.2
Finland,81.6,81.5,81.7,81.8,82.1,82,81.9,P   81.2
France,82.4,82.7,82.7,82.8,83,82.3,82.4,P   82.3
Germany,80.7,81,81.1,81,81.3,81.1,80.8,P   80.7
Greece,81.1,81.5,81.4,81.9,81.7,81.4,80.2,P   80.7
Hungary,75.7,76.2,76,76.2,76.5,75.7,74.3,P   76.2
Iceland,82.5,82.2,82.6,82.9,83.2,83.1,83.2,P   82.1
Ireland,81.5,81.7,82.2,82.2,82.8,82.6,82.4,
Israel,82.2,82.5,82.7,82.9,82.9,82.7,82.6,E   82.9
Italy,82.7,83.4,83.1,83.4,83.6,82.3,82.7,P   83
Japan,E   83.9,E   84.1,E   84.2,E   84.3,E   84.4,E   84.6,E   84.5,
Korea,82.1,82.4,82.7,82.7,83.3,83.5,83.6,
Latvia,74.8,74.9,74.9,75.1,75.7,75.5,73.1,P   74.8
Lithuania,74.6,74.9,75.8,76,76.5,75.1,74.2,P   76
Luxembourg,82.4,82.7,82.1,82.3,82.7,82.2,82.7,P   83
Mexico,74.7,74.8,74.9,75,75.1,75.2,75.4,
Netherlands,81.6,81.7,81.8,81.9,82.2,81.4,81.4,P   81.7
New Zealand,E   81.5,E   81.6,E   81.7,81.7,82.1,82.3,82.3,
Norway,82.4,82.5,82.7,82.8,83,83.3,83.2,P   82.6
Poland,77.5,78,77.8,77.7,78,76.5,75.5,P   77.4
Portugal,81.3,81.3,81.6,81.5,81.9,81.1,81.5,P   81.7
Slovak Republic,76.7,77.3,77.3,77.4,77.8,77,74.6,P   77.2
Slovenia,80.9,81.2,81.2,81.5,81.6,80.6,80.7,P   81.3
Spain,83,83.5,83.4,83.5,84,82.4,83.3,P   83.2
Sweden,82.2,82.4,82.5,82.6,83.2,82.4,83.1,P   83.1
Switzerland,83,83.7,83.7,83.8,84,83.1,83.9,P   83.5
Türkiye,78,78,78.1,78.3,78.6,,,
United Kingdom,E   80.9,E   81,E   81.1,E   81.1,E   81.4,E   80.4,,
United States,78.7,78.7,78.6,78.7,78.8,77,76.4,
·  Argentina,76.8,76.8,76.3,76.8,77,77.3,75.9,75.4
·  Brazil,74.3,74.3,74.4,74.8,75.1,75.3,74,72.8
·  Bulgaria,74.7,74.9,74.8,75,75.1,73.6,71.4,P   74.3
·  China (People’s Republic of),76.7,77,77.2,77.2,77.7,78,78.1,78.2
·  Croatia,77.5,78.2,78,78.2,78.6,77.8,76.7,P   77.7
·  India,69.1,69.6,70.1,70.5,70.7,70.9,70.2,67.2
