column1,2015,2016,2017,2018,2019,2020,2021,2022
Frequency of observation: Annual,,,,,,,,
Measure: Expenditure,,,,,,,,
Combined unit of measure: Percentage of GDP,,,,,,,,
Australia,10.2,10.1,10.1,10.1,10.2,10.7,E   10.6,E   9.6
Austria,10.4,10.4,10.4,10.3,10.5,11.4,12.1,P   11.4
Belgium,10.8,10.8,10.8,10.9,10.8,11.2,11,E   10.9
Canada,10.7,11,10.9,10.9,11,D   13.0,"D,P   12.3","D,P   11.2"
Chile,8.4,8.6,9.1,9.2,9.4,9.7,9.3,P   9.0
Colombia,7.5,7.5,7.7,7.6,7.8,8.7,9,E   8.1
Costa Rica,7.6,7.3,7,B   7.3,7.2,7.8,7.6,E   7.2
Czechia,7.4,7.4,7.4,7.5,7.6,9.2,9.5,E   9.1
Denmark,10.3,10.2,10.1,10.1,10.2,10.6,10.8,P   9.5
Estonia,6.6,6.7,6.6,6.7,6.8,7.6,7.5,P   6.9
Finland,B   9.6,9.4,9.1,9,9.2,9.6,10.3,E   10.0
France,11.4,11.5,11.4,11.2,11.1,12.1,12.3,E   12.1
Germany,11.2,11.2,11.3,11.5,11.7,12.7,12.9,P   12.7
Greece,8.2,8.4,8.1,8.1,8.2,9.5,9.2,E   8.6
Hungary,6.9,7,6.7,6.6,6.3,7.3,7.4,P   6.7
Iceland,8.1,8.1,8.3,8.4,8.6,9.6,9.7,P   8.6
Ireland,7.3,7.5,7.1,6.9,6.7,7.1,6.7,P   6.1
Israel,7,7.1,7.2,7.2,7.2,P   7.7,7.9,E   7.4
Italy,8.9,8.7,8.7,8.7,8.7,9.6,9.4,P   9.0
Japan,10.8,10.7,10.7,10.7,11,11,P   11.3,E   11.5
Korea,6.6,6.9,7,7.5,8.2,8.4,9.3,P   9.7
Latvia,5.7,6.1,6,6.2,6.6,7.2,9,E   8.8
Lithuania,6.5,6.6,6.5,6.5,7,7.5,7.8,P   7.5
Luxembourg,5.1,5.1,5.1,5.3,5.5,5.7,5.7,P   5.5
Mexico,5.7,5.6,5.5,5.4,5.4,6.2,6.1,E   5.5
Netherlands,10.3,10.3,10.1,10,10.1,11.2,11.3,P   10.2
New Zealand,P   9.3,P   9.2,P   9.0,P   9.0,E   9.1,E   9.7,E   10.1,E   11.2
Norway,10.1,10.5,10.2,10,10.4,11.2,P   9.9,E   7.9
Poland,6.4,6.6,6.6,6.3,6.5,6.5,6.4,P   6.7
Portugal,9.3,9.4,9.3,9.4,9.5,10.5,11.1,P   10.6
Slovak Republic,6.8,7,6.8,6.7,6.9,7.1,7.8,E   7.8
Slovenia,8.5,8.5,8.2,8.3,8.5,9.4,9.5,P   8.8
Spain,9.1,8.9,8.9,9,9.1,10.7,10.7,E   10.4
Sweden,10.8,10.9,10.8,10.9,10.8,11.3,P   11.2,P   10.7
Switzerland,10.8,11,11,10.8,11.1,11.7,11.8,E   11.3
Türkiye,4.1,4.3,4.2,4.1,4.4,4.6,4.6,E   4.3
United Kingdom,9.8,9.7,9.6,9.7,10,12.2,12.4,P   11.3
United States,16.5,16.8,16.8,16.6,16.7,18.8,17.4,E   16.6
·  Argentina,10.2,9,10.4,9.5,9.4,10,,
·  Brazil,8.9,9.2,9.5,9.5,9.6,10.1,,
·  Bulgaria,7.4,7.5,7.5,7.3,7.1,8.5,8.6,
·  China (People’s Republic of),5,5,5,5.1,5.4,5.7,,
·  Croatia,6.7,6.7,6.7,6.8,6.8,7.7,8.1,
·  Cyprus,B   6.8,6.7,6.6,6.8,7.1,8.4,P   9.4,
·  India,3.6,3.5,2.9,2.9,2.9,3,,
·  Indonesia,2.9,3,2.9,2.9,2.9,3.4,,
·  Malta,8.9,9,8.7,8.6,9.1,10.7,,
·  Peru,5,5,4.9,5.2,5.2,6.3,,
·  Romania,4.9,5.1,5.2,5.5,5.7,6.2,6.5,
·  South Africa,8.1,8.1,8,8.1,8.2,8.5,,
